epoch,DICE_metric,accuracy,io_u,loss,val_DICE_metric,val_accuracy,val_io_u,val_loss
0,0.4226144552230835,0.7975401878356934,0.7532966732978821,0.18508587777614594,0.47740960121154785,0.8323100209236145,0.7968524098396301,0.17104819416999817
1,0.6903048157691956,0.8719606995582581,0.7739389538764954,0.1581391841173172,0.680770754814148,0.8754181265830994,0.8138773441314697,0.16835682094097137
2,0.7526492476463318,0.8931242823600769,0.7878220677375793,0.15482477843761444,0.7365677952766418,0.8934599757194519,0.8215740323066711,0.16428475081920624
3,0.7900508642196655,0.9086152911186218,0.8007001876831055,0.15298399329185486,0.780091404914856,0.9133647084236145,0.8294121026992798,0.15823246538639069
4,0.8060938715934753,0.9119365215301514,0.8089513778686523,0.15238569676876068,0.8294415473937988,0.9285014271736145,0.8394390344619751,0.15714703500270844
5,0.8264977931976318,0.9203677177429199,0.8155930638313293,0.1511090248823166,0.7853665351867676,0.9205923676490784,0.8168892860412598,0.15194833278656006
6,0.8313248157501221,0.9240077137947083,0.8173975944519043,0.15030381083488464,0.8503993153572083,0.9335773587226868,0.8533899784088135,0.15895140171051025
7,0.838222861289978,0.9285630583763123,0.824413537979126,0.1497809886932373,0.8399137854576111,0.9363239407539368,0.8332070708274841,0.14975616335868835
8,0.8409934043884277,0.9290600419044495,0.825603723526001,0.14965596795082092,0.8222913146018982,0.9311341047286987,0.8199533224105835,0.1506289541721344
9,0.8486105799674988,0.9312703609466553,0.8286271691322327,0.14924724400043488,0.8892543911933899,0.9520882964134216,0.8621804118156433,0.15186604857444763
10,0.8528420329093933,0.9342917799949646,0.8368366956710815,0.14843064546585083,0.872057318687439,0.9452942609786987,0.8552857041358948,0.1529092639684677
11,0.8580210208892822,0.9368822574615479,0.8437626361846924,0.14819476008415222,0.8408524394035339,0.9245924353599548,0.8415738344192505,0.16206903755664825
12,0.8535428047180176,0.9351190328598022,0.8445676565170288,0.14828205108642578,0.8881667256355286,0.9486557841300964,0.8756816983222961,0.15618552267551422
13,0.8599364161491394,0.9376919269561768,0.8435941338539124,0.14779901504516602,0.891438364982605,0.953849196434021,0.8643457293510437,0.1498405784368515
14,0.8648948669433594,0.9404160976409912,0.8495397567749023,0.14730603992938995,0.8989565968513489,0.95551997423172,0.8808406591415405,0.1547056883573532
15,0.8704111576080322,0.9409449100494385,0.8523557186126709,0.14726506173610687,0.8951957821846008,0.9516929388046265,0.8783177137374878,0.15367133915424347
16,0.8728405237197876,0.943999707698822,0.8554306030273438,0.14669150114059448,0.9065966606140137,0.9595646858215332,0.8843845129013062,0.14968518912792206
17,0.869987428188324,0.942022979259491,0.8539564609527588,0.14710389077663422,0.9086198210716248,0.9606969952583313,0.8803541660308838,0.1495504081249237
18,0.8760102987289429,0.9431273937225342,0.8552641868591309,0.1468343883752823,0.9019248485565186,0.9558679461479187,0.8710790276527405,0.15194623172283173
19,0.875053346157074,0.9441744089126587,0.8572570085525513,0.14685283601284027,0.8934436440467834,0.9550808668136597,0.8623536229133606,0.14863349497318268
20,0.8743961453437805,0.9435946345329285,0.8558170199394226,0.14686889946460724,0.8956614136695862,0.9546536207199097,0.8744601011276245,0.1508834809064865
21,0.8754042983055115,0.9441748857498169,0.8543376326560974,0.14667975902557373,0.9028334617614746,0.9595264196395874,0.8762665390968323,0.14785002171993256
22,0.8758504390716553,0.9459589123725891,0.8574005961418152,0.14618068933486938,0.8931713700294495,0.9537827372550964,0.8617233037948608,0.15031960606575012
23,0.8755888342857361,0.9465662837028503,0.8623211979866028,0.14612194895744324,0.8574899435043335,0.945127546787262,0.8557958602905273,0.14928853511810303
24,0.8792011141777039,0.9469680190086365,0.8613278865814209,0.14608056843280792,0.9040003418922424,0.9578210711479187,0.8830781579017639,0.1517907828092575
25,0.8785914778709412,0.9468947649002075,0.8599127531051636,0.14601407945156097,0.9024906158447266,0.9569474458694458,0.8772875070571899,0.1510166972875595
26,0.8819850087165833,0.9490863680839539,0.8646990060806274,0.1456747055053711,0.8993037939071655,0.9570029973983765,0.872991144657135,0.14931343495845795
27,0.8806668519973755,0.9481461048126221,0.8656418919563293,0.14598295092582703,0.8992896676063538,0.9577053785324097,0.8745266795158386,0.14815790951251984
28,0.8856016993522644,0.9490079283714294,0.8677182793617249,0.14573875069618225,0.91199791431427,0.9614995718002319,0.8863699436187744,0.1484355628490448
29,0.8844267129898071,0.950245201587677,0.8663217425346375,0.14548395574092865,0.8978989124298096,0.95393306016922,0.8733847141265869,0.15126767754554749
30,0.8899928331375122,0.9502348899841309,0.8661624193191528,0.14562779664993286,0.9149491190910339,0.9622164964675903,0.8863906860351562,0.14971967041492462
31,0.8872082233428955,0.9492867588996887,0.8659169673919678,0.14584596455097198,0.9112772345542908,0.9615742564201355,0.8831315040588379,0.14867912232875824
32,0.8863595128059387,0.9501744508743286,0.8677111864089966,0.1455775797367096,0.9090842604637146,0.961173415184021,0.8791437149047852,0.14862003922462463
