epoch,DICE_metric,accuracy,io_u,loss,val_DICE_metric,val_accuracy,val_io_u,val_loss
0,0.7518705129623413,0.9113641977310181,0.7651664018630981,0.16928347945213318,0.7743937373161316,0.9165512919425964,0.791993260383606,0.15304507315158844
1,0.8238129019737244,0.9222235083580017,0.8012399077415466,0.15246234834194183,0.8432378768920898,0.9390595555305481,0.8316685557365417,0.15004174411296844
2,0.831968367099762,0.9218471646308899,0.7998194694519043,0.15125781297683716,0.8851646184921265,0.9519279599189758,0.8369881510734558,0.1477685272693634
3,0.8505460023880005,0.9297003746032715,0.7943919897079468,0.1499219536781311,0.5307733416557312,0.9033230543136597,0.8003843426704407,0.19911570847034454
4,0.8617807626724243,0.9356258511543274,0.789486825466156,0.1485702246427536,0.8335261940956116,0.9396653771400452,0.8134567141532898,0.15014903247356415
5,0.8560057282447815,0.9329939484596252,0.7811806797981262,0.14863955974578857,0.8755185604095459,0.9516373872756958,0.8432087898254395,0.1498023420572281
6,0.8647851943969727,0.9369595050811768,0.7777753472328186,0.14819206297397614,0.8945090770721436,0.9570012092590332,0.8097289204597473,0.1474902629852295
7,0.8712354302406311,0.9397395849227905,0.7754882574081421,0.14757642149925232,0.8961111903190613,0.9569100737571716,0.8319785594940186,0.1478651911020279
8,0.8709529638290405,0.9392024874687195,0.7777389883995056,0.14746135473251343,0.8901617527008057,0.95698481798172,0.8149274587631226,0.1477552205324173
9,0.8658950328826904,0.9397972822189331,0.769110381603241,0.14711672067642212,0.9043056964874268,0.9606550931930542,0.7948862910270691,0.14702923595905304
10,0.8723393082618713,0.9417292475700378,0.7715315818786621,0.1468747854232788,0.8952959179878235,0.9570868015289307,0.8066980242729187,0.14759525656700134
11,0.8754982948303223,0.9439869523048401,0.7697708606719971,0.14683784544467926,0.8896384835243225,0.9560155272483826,0.7957645654678345,0.14703242480754852
12,0.8784596920013428,0.9448171257972717,0.7682173252105713,0.14619970321655273,0.8984454870223999,0.958626389503479,0.7990809679031372,0.1468779742717743
13,0.8772805333137512,0.9451664686203003,0.7692709565162659,0.14608755707740784,0.9092620015144348,0.9625089168548584,0.8177652359008789,0.1473572701215744
14,0.8780810832977295,0.946450412273407,0.7665309309959412,0.14575763046741486,0.8982837200164795,0.959405243396759,0.803532600402832,0.14729128777980804
15,0.8788403868675232,0.9454874992370605,0.7643173933029175,0.1462986171245575,0.9054545760154724,0.9616599082946777,0.8117408752441406,0.1469356268644333
16,0.8817773461341858,0.9478614926338196,0.7673286199569702,0.14564287662506104,0.9099254608154297,0.9627411961555481,0.8005927801132202,0.14725644886493683
17,0.8843299150466919,0.9509003758430481,0.7667547464370728,0.1450830101966858,0.904548704624176,0.96061772108078,0.8076059222221375,0.1474667489528656
18,0.886300265789032,0.9499079585075378,0.7680003643035889,0.145088791847229,0.8657548427581787,0.9493526816368103,0.8008208274841309,0.14765693247318268
19,0.8828930258750916,0.9492866396903992,0.7654507160186768,0.14517350494861603,0.894974410533905,0.9582109451293945,0.8016400933265686,0.14687936007976532
20,0.8837012648582458,0.9506934881210327,0.7625796794891357,0.1448756456375122,0.9011958241462708,0.9599700570106506,0.7952914237976074,0.14704839885234833
21,0.8901592493057251,0.9536163210868835,0.7645497918128967,0.1446414291858673,0.8427451848983765,0.9409298300743103,0.7847704887390137,0.1484309434890747
22,0.8879349827766418,0.9513996243476868,0.7654647827148438,0.14461232721805573,0.8971688747406006,0.9595118165016174,0.7909369468688965,0.14664608240127563
23,0.8918955326080322,0.9539304971694946,0.7649211883544922,0.144428551197052,0.8917728662490845,0.95751953125,0.7932295203208923,0.14670193195343018
24,0.8878901600837708,0.9517491459846497,0.7602463364601135,0.14477631449699402,0.8994778990745544,0.9617145657539368,0.7784955501556396,0.14681987464427948
25,0.8943915963172913,0.9543746709823608,0.7616772055625916,0.14417196810245514,0.9061242938041687,0.9614248871803284,0.8058646321296692,0.14720861613750458
26,0.8913260698318481,0.9532225728034973,0.7646342515945435,0.14442598819732666,0.905491054058075,0.9617819786071777,0.7971824407577515,0.14701732993125916
27,0.8958486318588257,0.9559186697006226,0.7653717994689941,0.1439809650182724,0.8774582147598267,0.9545087814331055,0.7819257974624634,0.1468808799982071
28,0.8948286175727844,0.9552507996559143,0.7660107016563416,0.14419375360012054,0.876569390296936,0.952217698097229,0.8003374338150024,0.14693091809749603
29,0.8928747177124023,0.9545069336891174,0.7638959288597107,0.14417500793933868,0.9036078453063965,0.9610795974731445,0.799096941947937,0.14658494293689728
30,0.8985353112220764,0.9571604132652283,0.7650228142738342,0.1437528431415558,0.8868496417999268,0.9556648135185242,0.7904040813446045,0.1467328816652298
31,0.8967568278312683,0.9556812644004822,0.7619454860687256,0.14401455223560333,0.8854790925979614,0.955991804599762,0.7797859907150269,0.14677520096302032
32,0.9014909863471985,0.9577755928039551,0.7644128203392029,0.14362122118473053,0.906210720539093,0.962282121181488,0.7958145141601562,0.14654584228992462
33,0.8993049263954163,0.9578275680541992,0.76258385181427,0.1435823291540146,0.8851261138916016,0.9563890099525452,0.7811444997787476,0.14673757553100586
34,0.897587239742279,0.9570815563201904,0.7612589001655579,0.14377757906913757,0.9033210277557373,0.9615824818611145,0.7916299700737,0.14673008024692535
35,0.900712251663208,0.9580917954444885,0.7661698460578918,0.14362531900405884,0.8918372392654419,0.9575969576835632,0.7876300811767578,0.1466919481754303
36,0.9008679986000061,0.9578244090080261,0.7676162123680115,0.14343145489692688,0.9156330227851868,0.9658585786819458,0.7910200953483582,0.14687933027744293
37,0.9025840759277344,0.9589342474937439,0.7647259831428528,0.14323514699935913,0.9092357158660889,0.9632923603057861,0.7903445959091187,0.14629940688610077
38,0.9016581177711487,0.9588178992271423,0.7647026777267456,0.1435498744249344,0.8881135582923889,0.9562788009643555,0.7858558893203735,0.14659829437732697
39,0.9046786427497864,0.9601127505302429,0.7671055793762207,0.1430848091840744,0.8898957371711731,0.9571478366851807,0.789701521396637,0.1468280851840973
40,0.8993909955024719,0.9576315879821777,0.7645299434661865,0.14348338544368744,0.894686222076416,0.9581371545791626,0.7951425313949585,0.1468604952096939
41,0.9055206179618835,0.9605218768119812,0.7634860873222351,0.1429809182882309,0.9120522141456604,0.9651480317115784,0.7901806831359863,0.14674818515777588
