epoch,DICE_metric,accuracy,io_u,loss,val_DICE_metric,val_accuracy,val_io_u,val_loss
46,0.0010291726263372814,0.74901533,0.74924994,0.13411690413162408,4.340313657106408e-05,0.7748304,0.77483404,0.12683017091716037
47,0.0002548342903110137,0.7492055,0.74924976,0.13357946432090753,1.3820448408310059e-05,0.77483404,0.77483404,0.12598949637921417
48,0.000478239354326359,0.749236,0.74924976,0.13433868798199078,0.003345560802335508,0.7723917,0.77483404,0.12489387688829619
49,0.0004630296975405515,0.7489025,0.74924976,0.13355617602633324,0.0032738519327199095,0.7742911,0.77483475,0.12780503841007457
50,0.001033949370123236,0.7488535,0.74924976,0.13424298127138654,3.200961099940637e-05,0.77483404,0.77483404,0.12686625583206906
51,0.0004641766786858441,0.7489961,0.74924976,0.1342008828265679,0.0007062703364501844,0.7747056,0.77483404,0.12587642214973183
52,0.0011988859891750715,0.74894863,0.74924976,0.13426775221299653,0.0001051948626195938,0.77483404,0.77483404,0.1260572161306353
53,0.000861970690197538,0.749043,0.74924976,0.13321694927228406,0.00017212843819622775,0.7747885,0.77483404,0.12541259145912
54,0.0005523989766700874,0.7491601,0.74924976,0.13403654356166375,0.002184303751897128,0.77362245,0.77483404,0.12511346971287446
55,0.0010795316189760572,0.74889237,0.74925005,0.1341183724079207,0.0005459451939242196,0.77428746,0.77483404,0.1251136719742242
56,0.0026518859700743265,0.7488016,0.74925023,0.133773942521175,0.00033259655819834117,0.77464634,0.77483404,0.12930476183400436
57,0.000540631298062727,0.7491026,0.74924976,0.13401361644909476,0.006905055206179108,0.7734375,0.7748354,0.12451878343434895
58,0.0006333042655752072,0.74891293,0.74924976,0.13362960257129558,0.000557774271982672,0.7748049,0.77483404,0.12382972908808905
59,0.0008054573410028297,0.7491168,0.74924976,0.13294942680721647,0.006369740434618689,0.7737044,0.77483475,0.12473056432517136
60,0.0006486456865195826,0.7491309,0.74924994,0.13291560910296757,0.0002454532995667936,0.7747885,0.7748354,0.12591537066242275
61,0.0016225276244831712,0.74891514,0.74924994,0.133703795181501,0.001657911161827989,0.7741918,0.77483404,0.12591503231840975
62,0.0005915997584644376,0.7490842,0.74924976,0.1341000742322167,0.001494625007333713,0.77380097,0.77483404,0.1280345386442016
63,0.0017295022615611308,0.74884886,0.74924976,0.13368970223560633,0.001939896280568139,0.77473927,0.7748361,0.1295777162646546
64,0.0013342549318750944,0.74908054,0.74925005,0.1339735413549949,0.005524251431840187,0.7728499,0.77483684,0.12511846258798065
65,0.0025288976072120753,0.7488209,0.74925053,0.13335236784884866,0.0007893171421891037,0.7743184,0.77483404,0.12770972959697247
66,0.001345610225531732,0.74899006,0.74924976,0.133719985397989,0.009710492770921918,0.771662,0.7748361,0.1255307489019983
67,0.0016150265562287977,0.74879134,0.74924994,0.13381237024749745,0.00038146902165306747,0.77460265,0.77483404,0.12593750995309913
68,0.0011375576870209108,0.74911344,0.74925005,0.13388650004585453,0.0007949656632449468,0.77426285,0.77483404,0.125363654402249
69,0.0018793215096188543,0.7488786,0.74924994,0.1329205668105787,0.0009979435297719412,0.7742446,0.77483404,0.12516527283279336
70,0.0015322633345747339,0.74887365,0.74924994,0.1338593214010166,0.00023211898097557363,0.7745097,0.77483404,0.12536639018970377
